;food1;food2;amount
10157;malai chicken hot dog;easy chicken enchiladas;0.255063
10158;korean chicken wings;coconut milk and rose custard;0.255069
10159;beer braised bbq pork butt;creamy parmesan polenta;0.255107
10160;finikia;mulled merlot;0.255111
10161;beer battered onion rings;chicken with rice - pilaffe;0.255112
10162;zucchini blossom and fontina panini;bouillabaise;0.255115
10163;hanoi turmeric grilled fish with dill and onion;easy bhatura;0.255121
10164;italian vegetable lentil soup;marbleized brownies;0.255149
10165;caramelized flan from pinhao;veal spiedini - stuffed, skewered, and grilled;0.255156
10166;16-minute greek feast to go;turkey potpie with cheddar biscuit crust;0.255181
10167;southern italian thanksgiving stuffing;grilled mangoes with herbs;0.255187
10168;teriyaki chicken wings;sesame encrusted seared tuna;0.255194
10169;hanoi turmeric grilled fish with dill and onion;chana dal ki kachori;0.255212
10170;buttermilk strawberry shortcake;bacon-wilted greens with warm pecan-crusted goat cheese;0.255213
10171;chinese spareribs with teriyaki glaze;veal spiedini - stuffed, skewered, and grilled;0.255223
10172;spicy sausage linguine;mexican style shredded pork;0.255232
10173;ricotta gnudi with wild mushroom and truffle sauce;foolproof potato latkes;0.25524
10174;classic tiramisu with chocolate;jalapeno cheddar cornbread;0.255276
10175;candied root vegetables;oyster orgy salad;0.255276
10176;mom sykes  hungarian goulash;chocolate filled crepes covered with strawberry sauce;0.255286
10177;chalau;beer battered onion rings;0.255302
10178;noodle pancakes with caraway;duck legs confit cooked in a pouch (“confit” de canard en sous vide);0.255304
10179;turkey shawarma with crunchy vegetables;mojito mashed sweet potatoes;0.255307
10180;16-minute greek feast to go;chalau;0.255323
10181;ricotta gnudi with wild mushroom and truffle sauce;lotus rice with sausage;0.255325
10182;veal spiedini - stuffed, skewered, and grilled;white bean and artichoke dip;0.255326
10183;turkish coffee pudding;savory polenta;0.255335
10184;sharkie s green sauce;bouillabaise;0.255336
10185;vegan arepas made with polenta;mutter dhingri;0.255346
10186;involtini with castagne e prosciutto: beef and prosciutto rolls with chestnuts;rum caramel cake;0.255347
10187;dulce de leche half-moons;freak n good ribs;0.255376
10188;round 2 recipe - web - cinnamon roll french toast;noodle pancakes with caraway;0.255389
10189;chicken gumbo soup;smashed peas and ricotta cheese;0.255396
10190;grilled new potato salad with peppers and onions;bouillabaise;0.255407
10191;16-minute greek feast to go;orange rice pudding;0.255413
10192;finikia;dutch apple berry pie;0.255419
10193;methi paneer;broiled steak with horseradish cream;0.255432
10194;hanoi turmeric grilled fish with dill and onion;italian meatball and cheese tortellini soup;0.255441
10195;grilled chicken tacos;geoduck papaya ceviche;0.255446
10196;herbed fillet with red wine reduction;creamy parmesan polenta;0.255446
10197;puerto rican cabbage, avocado, and carrot salad;ployes;0.255449
10198;ahi poke and seaweed salad;bacon-wilted greens with warm pecan-crusted goat cheese;0.255455
10199;helva;stilton walnut tarts;0.25546
10200;soya vadi kababs;sue s killer martini;0.255465
10201;sue s killer martini;honeyed red-onion confit;0.255467
10202;beer battered onion rings;uli s apple red cabbage;0.255476
10203;rum caramel cake;butter;0.255483
10204;easy yorkshire pudding;bacon-wilted greens with warm pecan-crusted goat cheese;0.255516
10205;16-minute greek feast to go;chaas;0.255516
10206;vegetarian chili;16-minute greek feast to go;0.255533
10207;classic tiramisu with chocolate;roasted eggplant spread;0.255548
10208;red-bean soup with gremolata;ricotta gnudi with wild mushroom and truffle sauce;0.255552
10209;southwest cheese grits;honeyed red-onion confit;0.255557
10210;tomatillo salsa verde;easy chicken enchiladas;0.25556
10211;creamy parmesan polenta;camp david spaghetti with italian sausage;0.255574
10212;roasted pumpkin soup;provencal tomato potato gratin;0.255576
10213;chef gerard s award winning caesar salad dressing;16-minute greek feast to go;0.255585
10214;pacific cider;anchovies in tomato sauce with pasta;0.25559
10215;punch ice block;honey plums;0.255593
10216;veal spiedini - stuffed, skewered, and grilled;cranberry salad;0.255594
10217;broiled steak with horseradish cream;udon noodles with japanese clam sauce;0.255622
10218;spicy mexican torte;apple and quince crisp with rum raisins;0.25563
10219;hula girl cocktail;ployes;0.255651
10220;bacon-wilted greens with warm pecan-crusted goat cheese;reina pepiada arepas;0.255665
10221;moroccan chicken stew;spinach, potatoes, and bacon au gratin;0.255666
10222;the peacemaker: golden fried oyster and shrimp po-boy with hot sauce-infused mayonnaise, lettuce, and tomato;broiled steak with horseradish cream;0.255691
10223;oven-fried chicken breasts;laura s maryland crab cakes;0.255693
10224;classic tiramisu with chocolate;azuki ice cream (japanese red beans ice cream);0.255697
10225;spicy sausage linguine;chicken posole verde soup;0.255747
10226;panque de almendra;beer battered onion rings;0.255751
10227;grilled skirt steak with homemade asian barbeque marinade;ricotta gnudi with wild mushroom and truffle sauce;0.255801
10228;stuffed khandvi;ployes;0.255812
10229;freak n good ribs;chicken with roasted red pepper, chorizo and sweet pea sauce over rice;0.255824
10230;beer battered onion rings;linguine with shrimp scampi;0.255833
10231;spicy sausage linguine;boiled coffee;0.255847
10232;hanoi turmeric grilled fish with dill and onion;burmese chicken curry;0.25585
10233;swedish christmas glogg;geoduck papaya ceviche;0.255852
10234;grilled santa barbara prawns with blood orange glaze;easy chicken enchiladas;0.255858
10235;hanoi turmeric grilled fish with dill and onion;chicken and bowtie pasta with asiago cream sauce;0.25586
10236;spicy sausage linguine;mouthwateringly tangy pineapple meatloaf;0.255867
10237;candied root vegetables;gooey butter cake iii;0.255871
10238;grilled skirt steak with homemade asian barbeque marinade;chicken wings with black-bean sauce;0.25589
10239;rum caramel cake;green goddess dressing over iceberg wedges;0.255901
10240;hanoi turmeric grilled fish with dill and onion;masala palak paratha;0.255901
10241;lamb for lovers;ployes;0.255906
10242;chicken meatball dim sum;bouillabaise;0.25591
10243;south african instant milk tart;bouillabaise;0.255911
10244;hanoi turmeric grilled fish with dill and onion;pasta sauce a la pauly;0.25592
10245;lilva rice;spicy tomato relish;0.255927
10246;creamy potato salad;creamy parmesan polenta;0.255942
10247;balsamic chicken breasts;chicken wings with black-bean sauce;0.255972
10248;norwegian christmas cabbage;creamy parmesan polenta;0.255975
10249;roasted pumpkin soup;orzo;0.255978
10250;jalapeno ranch salad dressing;southwest cheese grits;0.255994
10251;mississippi sweet and sour barbeque sauce;ricotta gnudi with wild mushroom and truffle sauce;0.255995
10252;texas sauce;quick chicken fajitas;0.256015
10253;red-bean soup with gremolata;chicken wings with black-bean sauce;0.256023
10254;turkey shawarma with crunchy vegetables;chicken cacciatora;0.256023
10255;texas sauce;marbleized brownies;0.256053
10256;chicken à la king;quick chicken fajitas;0.256062
10257;veal spiedini - stuffed, skewered, and grilled;roasted eggplant spread;0.256063
10258;new year s day ozoni soup;spicy sausage linguine;0.256066
10259;chocolate mousse: mousse au chocolat;quick chicken fajitas;0.256081
10260;austin, texas barbecue paste;ployes;0.256108
10261;rajma masaledar;hawaiian sweet potato casserole;0.256112
10262;almond, chocolate, and pistachio spumoni;korean chicken wings;0.256121
10263;simple italian pasta salad;beer battered onion rings;0.256144
10264;fried green tomatoes with shrimp remoulade;stilton walnut tarts;0.256145
10265;freak n good ribs;mexican eggplant;0.256148
10266;freak n good ribs;pesto torta (layered spread);0.256152
10267;spiced waffles with caramelized apples;rajma masaledar;0.256164
10268;finikia;floating island;0.256173
10269;pan-roasted beef filet in coffee and molasses shellac;onion, tomato, and bell pepper citrus salsa;0.256175
10270;miss dixie s remoulade;steamed snapper with ginger, lime, and cilantro;0.256178
10271;spicy mexican torte;paneer makhmali;0.256194
10272;rum caramel cake;mushroom turnovers;0.2562
10273;zucchini slice;bouillabaise;0.256201
10274;hanoi turmeric grilled fish with dill and onion;roasted portobello and prosciutto lasagna;0.256201
10275;pinzimonio: vinaigrette;beer battered onion rings;0.25621
10276;"the ""ddd"" burger";rajma masaledar;0.256211
10277;chopped vegetable salad with feta and olives;easy chicken enchiladas;0.256214
10278;16-minute greek feast to go;moroccan beef kebabs with curried couscous, raita and charmoula vinaigrette;0.256227
10279;easy mexican sopes;ricotta gnudi with wild mushroom and truffle sauce;0.25623
10280;spicy sausage linguine;stroopwaffels i;0.256232
10281;almond, chocolate, and pistachio spumoni;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;0.256234
10282;candied root vegetables;wild rice stuffing with hazelnuts and dried cranberries;0.256237
10283;rum caramel cake;zucchini pasta bake;0.256278
10284;mom sykes  hungarian goulash;quick chicken fajitas;0.25628
10285;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;champagne sabayon on top of milk chocolate sauce and fresh berries;0.256282
10286;gemelli with shrimp, red bell peppers, and peas;candied root vegetables;0.256284
10287;upma kozhukattai;rajma masaledar;0.256289
10288;karen s creamy tomato pasta;16-minute greek feast to go;0.256295
10289;candied root vegetables;elijah s phulourie;0.256373
10290;hanoi turmeric grilled fish with dill and onion;california turkey burger;0.25639
10291;laura s maryland crab cakes;blueberry delight;0.256394
10292;bal s lentil cookies;korean chicken wings;0.256407
10293;nana s yorkshire pudding;thanksgiving turkey with italian meat stuffing;0.25641
10294;finikia;chicken cacciatora;0.256417
10295;ginger-lemongrass portobello mushroom caps;cranberry salad;0.256447
10296;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;mutter dhingri;0.256454
10297;beer braised bbq pork butt;broiled steak with horseradish cream;0.256461
10298;candied root vegetables;easy tacos;0.256471
10299;provencal tomato potato gratin;bouillabaise;0.256472
10300;general tso s chicken;rajma masaledar;0.256484
10301;grilled chicken tacos;ployes;0.256487
10302;spicy sausage linguine;pollo negra;0.256502
10303;sugarcane shrimp;rajma masaledar;0.256508
10304;spicy sausage linguine;chicken salad rolls;0.256524
10305;finikia;spice rubbed bahamian lobster tail with red chile-coconut sauce;0.256526
10306;freak n good ribs;black sesame pudding;0.25653
10307;wife pastry (lo po bang);ricotta gnudi with wild mushroom and truffle sauce;0.25653
10308;classic tiramisu with chocolate;grilled santa barbara prawns with blood orange glaze;0.256534
10309;spicy melon salad with mint and ricotta salata;saltado de vainitas (peruvian green beans with chicken);0.256548
10310;simple chicken curry;smashed peas and ricotta cheese;0.25655
10311;angel hair pasta with trapani-style pesto;rajma masaledar;0.256561
10312;finikia;baby artichokes fried in olive oil;0.256563
10313;savory polenta;lentil soup kuppin;0.256577
10314;richard and suzanne s famous red beans and sausage;finikia;0.25659
10315;rum caramel cake;luscious lassi;0.256611
10316;bren s italian meatballs;stilton walnut tarts;0.25662
10317;green goddess dressing over iceberg wedges;bouillabaise;0.256633
10318;hula girl cocktail;easy chicken enchiladas;0.256641
10319;raspberry gratins;16-minute greek feast to go;0.256654
10320;bone-in cowboy rib-eye with pinto-wild mushroom ragout and red chile onion rings;bouillabaise;0.256655
10321;roomali roti;cajun red beans;0.256672
10322;grilled tri-tip with oregon herb rub;moroccan chicken stew;0.256684
10323;mexican hot carrots;easy chicken enchiladas;0.256684
10324;classic tiramisu with chocolate;chocolate mousse: mousse au chocolat;0.256713
10325;freak n good ribs;maple sugar ragamuffins;0.25672
10326;geoduck papaya ceviche;salsa borracha (drunk salsa);0.256752
10327;16-minute greek feast to go;mahi mahi with coconut rice and mango salsa;0.256755
10328;fish;chicken wings with black-bean sauce;0.256757
10329;chinese spareribs with teriyaki glaze;thanksgiving turkey with italian meat stuffing;0.256764
10330;moroccan chicken stew;best teriyaki sauce;0.256768
10331;jicama salad with cilantro and lime;creamy parmesan polenta;0.256783
10332;moroccan chicken stew;fragola pazzo (crazy strawberry);0.256785
10333;pinzimonio: vinaigrette;spicy sausage linguine;0.256813
10334;sarah s slow cooker chicken cacciatore;sesame encrusted seared tuna;0.25682
10335;freak n good ribs;colcannon (irish potato salad);0.256826
10336;methi paneer;marbleized brownies;0.256847
10337;hanoi turmeric grilled fish with dill and onion;sweet lassi;0.256852
10338;tagliatelle with chestnuts, pancetta, and sage;almond puff pancakes;0.256872
10339;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;cheesy italian bread wedges;0.256893
10340;candied root vegetables;southwestern corned beef quesadillas!;0.256898
10341;becky s slow cooker gluten-free thai chicken curry;champagne sabayon on top of milk chocolate sauce and fresh berries;0.256903
10342;papaya poached in cinnamon-lime syrup;tender mangoes in brine;0.256909
10343;nana s yorkshire pudding;corn and bean medley;0.25691
10344;spicy sausage linguine;chicken and bowtie pasta with asiago cream sauce;0.256917
10345;rajma masaledar;pear cake with grappa sauce;0.256919
10346;creamy parmesan polenta;austin, texas barbecue paste;0.256926
10347;bacon mushroom swiss meatloaf;bacon-wilted greens with warm pecan-crusted goat cheese;0.256934
10348;rum caramel cake;paneer matar masala;0.256958
10349;dark brown bbq ribs;teriyaki chicken wings;0.256967
10350;onion, tomato, and bell pepper citrus salsa;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;0.256976
10351;turkey shawarma with crunchy vegetables;Pig Beef Fatiado CERATTI Bandeja 150g;0.256981
10352;ridge gourd chutney;bouillabaise;0.256987
10353;freak n good ribs;coddle;0.256996
10354;creamy parmesan polenta;meatballs with angel hair pasta;0.257003
